4, 290, 24, 3, 2;
1, 747, 34, 3, 2;
4, 226, 36, 3, 2;
1, 967, 48, 3, 2;
3, 701, 87, 3, 2;
3, 112, 67, 3, 2;
1, 118, 48, 3, 2;
1, 77, 6, 3, 2;
3, 915, 20, 3, 2;
2, 612, 27, 3, 2;
4, 627, 39, 3, 2;
1, 32, 58, 3, 2;
1, 573, 94, 3, 2;
3, 429, 5, 3, 2;
1, 841, 18, 3, 2;
2, 742, 9, 3, 2;
2, 680, 78, 3, 2;
4, 674, 28, 3, 2;
4, 101, 67, 3, 2;
3, 222, 37, 3, 2;
1, 751, 72, 3, 2;
1, 945, 94, 3, 2;
3, 955, 54, 3, 2;
3, 856, 9, 3, 2;
4, 634, 26, 3, 2;
3, 732, 24, 3, 2;
4, 996, 37, 3, 2;
1, 313, 30, 3, 2;
3, 907, 80, 3, 2;
1, 810, 49, 3, 2;
1, 179, 24, 3, 2;
3, 346, 26, 3, 2;
1, 303, 78, 3, 2;
1, 228, 35, 3, 2;
3, 135, 74, 3, 2;
4, 514, 17, 3, 2;
4, 525, 86, 3, 2;
4, 727, 77, 3, 2;
1, 99, 7, 3, 2;
1, 186, 57, 3, 2;
1, 345, 19, 3, 2;
3, 476, 96, 3, 2;
2, 996, 17, 3, 2;
2, 657, 82, 3, 2;
4, 495, 25, 3, 2;
2, 654, 58, 3, 2;
4, 415, 90, 3, 2;
2, 140, 83, 3, 2;
3, 440, 71, 3, 2;
1, 800, 82, 3, 2;
3, 958, 56, 3, 2;
1, 479, 11, 3, 2;
3, 55, 98, 3, 2;
2, 236, 69, 3, 2;
4, 552, 86, 3, 2;
3, 374, 27, 3, 2;
3, 916, 13, 3, 2;
1, 822, 99, 3, 2;
3, 866, 6, 3, 2;
2, 680, 76, 3, 2;
1, 326, 52, 3, 2;
2, 35, 66, 3, 2;
4, 187, 4, 3, 2;
3, 532, 20, 3, 2;
2, 492, 55, 3, 2;
1, 346, 8, 3, 2;
2, 975, 81, 3, 2;
4, 380, 33, 3, 2;
4, 74, 52, 3, 2;
2, 661, 20, 3, 2;
3, 708, 30, 3, 2;
3, 693, 54, 3, 2;
3, 473, 70, 3, 2;
1, 947, 20, 3, 2;
3, 58, 60, 3, 2;
2, 382, 98, 3, 2;
3, 952, 8, 3, 2;
3, 53, 56, 3, 2;
1, 950, 97, 3, 2;
4, 94, 74, 3, 2;
1, 678, 32, 3, 2;
2, 847, 63, 3, 2;
1, 327, 8, 3, 2;
3, 70, 45, 3, 2;
4, 840, 92, 3, 2;
2, 778, 38, 3, 2;
3, 234, 76, 3, 2;
1, 410, 95, 3, 2;
1, 668, 99, 3, 2;
4, 46, 48, 3, 2;
1, 208, 28, 3, 2;
3, 506, 45, 3, 2;
4, 849, 40, 3, 2;
3, 284, 58, 3, 2;
4, 726, 11, 3, 2;
2, 800, 39, 3, 2;
4, 371, 40, 3, 2;
1, 240, 82, 3, 2;
2, 213, 67, 3, 2;
1, 899, 69, 3, 2;
2, 247, 19, 3, 2;
4, 747, 35, 3, 2;
3, 54, 54, 3, 2;
3, 188, 14, 3, 2;
1, 924, 59, 3, 2;
4, 617, 60, 3, 2;
3, 571, 56, 3, 2;
3, 169, 27, 3, 2;
1, 472, 46, 3, 2;
3, 206, 100, 3, 2;
2, 230, 71, 3, 2;
1, 293, 10, 3, 2;
4, 939, 4, 3, 2;
3, 917, 36, 3, 2;
4, 525, 63, 3, 2;
4, 407, 66, 3, 2;
3, 577, 69, 3, 2;
4, 65, 61, 3, 2;
1, 400, 34, 3, 2;
3, 324, 76, 3, 2;
2, 832, 69, 3, 2;
2, 399, 71, 3, 2;
1, 802, 9, 3, 2;
2, 677, 39, 3, 2;
2, 64, 91, 3, 2;
1, 678, 55, 3, 2;
3, 927, 77, 3, 2;
1, 629, 51, 3, 2;
4, 363, 100, 3, 2;
4, 495, 71, 3, 2;
4, 142, 5, 3, 2;
3, 295, 44, 3, 2;
3, 587, 15, 3, 2;
2, 337, 88, 3, 2;
3, 877, 14, 3, 2;
4, 611, 26, 3, 2;
2, 126, 60, 3, 2;
2, 155, 84, 3, 2;
4, 459, 27, 3, 2;
4, 812, 74, 3, 2;
4, 983, 20, 3, 2;
4, 468, 52, 3, 2;
4, 832, 65, 3, 2;
3, 499, 73, 3, 2;
3, 257, 63, 3, 2;
1, 525, 47, 3, 2;
2, 600, 98, 3, 2;
1, 784, 97, 3, 2;
4, 721, 32, 3, 2;
3, 138, 90, 3, 2;
4, 693, 77, 3, 2;
3, 846, 91, 3, 2;
4, 236, 20, 3, 2;
2, 273, 88, 3, 2;
4, 755, 18, 3, 2;
3, 470, 14, 3, 2;
1, 426, 56, 3, 2;
3, 176, 7, 3, 2;
1, 943, 40, 3, 2;
